x	y
0.000000	920000.000000
59.000002	1020000.000000
120.000003	1170000.000000
179.999999	1300000.000000
239.000001	1420000.000000
300.000002	1530000.000000
359.999999	1640000.000000
419.000001	1740000.000000
480.000002	1810000.000000
539.000003	1900000.000000
599.000000	1990000.000000
660.000001	2070000.000000
719.000003	2150000.000000
778.999999	2240000.000000
840.000000	2310000.000000
899.000002	2380000.000000
958.999998	2460000.000000
1020.000000	2520000.000000
1079.000001	2590000.000000
1138.999998	2650000.000000
1199.999999	2720000.000000
1259.000001	2790000.000000
1318.999997	2840000.000000
1379.999998	2910000.000000
1439.000000	2760000.000000
1499.000007	2690000.000000
1559.999998	2680000.000000
1618.999999	2710000.000000
1680.000000	2750000.000000
1739.999997	2780000.000000
1798.999999	2820000.000000
1860.000000	2860000.000000
1920.000006	2900000.000000
1978.999998	2940000.000000
2039.999999	2970000.000000
2100.000006	3020000.000000
2158.999997	3050000.000000
2219.999998	3090000.000000
2280.000005	3130000.000000
2338.999997	3160000.000000
2399.999998	3190000.000000
2460.000004	3230000.000000
2519.000006	3270000.000000
2579.999997	3300000.000000
2638.999999	3310000.000000
2699.000005	3340000.000000
2760.000006	3360000.000000
2818.999998	3390000.000000
2879.000005	3420000.000000
2940.000006	3440000.000000
2998.999998	3470000.000000
3059.000004	3490000.000000
3120.000005	3520000.000000
3178.999997	3540000.000000
3239.000003	3570000.000000
3300.000004	3590000.000000
3359.000006	3610000.000000
3419.999997	3630000.000000
3480.000004	3660000.000000
3539.000006	3680000.000000
3599.999997	3700000.000000
3660.000003	3730000.000000
3719.000005	3750000.000000
3780.000006	3770000.000000
3840.000002	3790000.000000
3899.000004	3810000.000000
3960.000005	3830000.000000
4020.000002	3850000.000000
4079.000004	3860000.000000
4140.000005	3880000.000000
4200.000001	3900000.000000
4259.000003	3910000.000000
4320.000004	3940000.000000
4380.000000	3950000.000000
4439.000002	3980000.000000
4500.000003	4010000.000000
4560.000000	4040000.000000
4619.000002	4060000.000000
4680.000003	4090000.000000
4739.000005	4120000.000000
4799.000001	4140000.000000
4860.000002	4160000.000000
4919.000004	4180000.000000
4979.000000	4200000.000000
5040.000001	4220000.000000
5099.000003	4240000.000000
5159.000000	4260000.000000
5220.000001	4280000.000000
5279.000003	4300000.000000
5340.000004	4320000.000000
5400.000000	4330000.000000
5459.000002	4360000.000000
5520.000003	4370000.000000
5579.999999	4390000.000000
5639.000001	4410000.000000
5700.000002	4430000.000000
5759.999999	4450000.000000
5819.000001	4470000.000000
5880.000002	4490000.000000
5939.999998	4500000.000000
5999.000000	4520000.000000
6060.000001	4530000.000000
6119.999997	4550000.000000
6178.999999	4570000.000000
6240.000000	4580000.000000
6299.999997	4600000.000000
6358.999998	4610000.000000
6420.000000	4630000.000000
6480.000006	4640000.000000
6538.999998	4660000.000000
6599.999999	4680000.000000
6659.000001	4680000.000000
6718.999997	4700000.000000
6779.999998	4710000.000000
6839.000000	4730000.000000
6899.000007	4740000.000000
6959.999998	4750000.000000
7018.999999	4770000.000000
7079.000006	4780000.000000
7139.999997	4800000.000000
7198.999999	4810000.000000
7260.000000	4830000.000000
7320.000006	4890000.000000
7378.999998	5010000.000000
7439.999999	5140000.000000
7500.000006	5260000.000000
7558.999997	5360000.000000
7619.999998	5470000.000000
7680.000005	5560000.000000
7738.999997	5650000.000000
7799.999998	5740000.000000
7860.000004	5820000.000000
7919.000006	5890000.000000
7979.999997	5970000.000000
8040.000004	6050000.000000
8099.000005	6130000.000000
8160.000006	6200000.000000
8220.000003	6270000.000000
8279.000005	6330000.000000
8340.000006	6390000.000000
8400.000002	6450000.000000
8459.000004	6510000.000000
8520.000005	6570000.000000
8578.999997	6630000.000000
8639.000003	6670000.000000
8700.000004	6720000.000000
8759.000006	6770000.000000
8819.000003	6820000.000000
8880.000004	6860000.000000
8939.000006	6910000.000000
8999.000002	6950000.000000
9060.000003	6990000.000000
9119.000005	7030000.000000
9179.000001	7080000.000000
9240.000002	7120000.000000
9299.000004	7160000.000000
